Operation,Machine,Coach Variant,Start Time,End Time,Input,Output,Coach Variant Manufactured
Stage-III SW skeletion Robotic Mig Welding,SW0130,LWSCZAC (2nd Class AC Chair Car),2022-03-01 06:45:00,2022-03-01 10:15:00,['LHB Side Wall LHS'],['LHB Side Wall LHS'],0
Stage-IV Roof Bearer Robotic Arc Spot welding,SW0140,LWSCZAC (2nd Class AC Chair Car),2022-03-01 10:15:00,2022-03-01 10:16:00,"['CARLINE', 'LHB Side Wall LHS']",['E'],0
Stage III Roof Robotic Welding Station,RF0130,LWSCZAC (2nd Class AC Chair Car),2022-03-01 07:30:00,2022-03-01 11:00:00,['C'],['C'],0
Stage III Robotic Welding upside of Underframe,UF0310,LWSCZAC (2nd Class AC Chair Car),2022-03-01 06:45:00,2022-03-01 11:10:00,['Underframe frame work'],['Underframe frame work'],0
Stage IV Roof Acceptance Stand and left over Welding station(13.0),RF0140,LWSCZAC (2nd Class AC Chair Car),2022-03-01 11:00:00,2022-03-01 14:45:00,"['C', 'D']",['E'],0
Stage IV  Robotic Welding downside of Underframe,UF0320,LWSCZAC (2nd Class AC Chair Car),2022-03-01 11:10:00,2022-03-01 16:00:00,['Underframe frame work'],['Underframe frame work'],0
Stage-V SW & Roof Bearer Robotic welding,SW0150,LWSCZAC (2nd Class AC Chair Car),2022-03-01 10:16:00,2022-03-01 16:16:00,"['E', 'Welding Parts Side wall LHS']",['Side wall Left complete'],0
Stage V Roof Acceptance Stand and left over Welding station(11.0),RF0150,LWSCZAC (2nd Class AC Chair Car),2022-03-01 14:45:00,2022-03-01 16:50:00,['E'],['Roof Complete'],0
Stage V Repair & leftover work by manual welding Top Side,UF0400,LWSCZAC (2nd Class AC Chair Car),2022-03-01 16:00:00,2022-03-01 21:45:00,['Underframe frame work'],['Underframe frame work'],0
Stage VII Robotic Corrugated sheet stitch welding done,UF0610,LWSCZAC (2nd Class AC Chair Car),2022-03-01 21:45:00,2022-03-02 05:40:00,"['Trough Sheets', 'Underframe frame work']",['Underframe frame work with corrugated sheet'],0
Stage VIII Robotic Corrugated sheet seam welding done,UF0620,LWSCZAC (2nd Class AC Chair Car),2022-03-02 05:40:00,2022-03-02 10:20:00,['Underframe frame work with corrugated sheet'],['Underframe frame work with corrugated sheet'],0
Stage IX Attending of leftover work and rectification of weld defects,UF0700,LWSCZAC (2nd Class AC Chair Car),2022-03-02 10:20:00,2022-03-02 17:25:00,['Underframe frame work with corrugated sheet'],['Underframe frame work with corrugated sheet'],0
Stage XII  Final Inspection and attending of leftover work,UF0900,LWSCZAC (2nd Class AC Chair Car),2022-03-02 17:25:00,2022-03-02 19:55:00,"['Underframe frame work with corrugated sheet', 'Underframe Welding Parts', 'Supporting Members']",['Underframe Complete'],0
Stage-I Robotic Shell AssemblyLine at 22.2.1 (JIG I & II ),SH0110,LWSCZAC (2nd Class AC Chair Car),2022-03-02 19:55:00,2022-03-03 03:30:00,"['Side wall Left complete', 'End wall Complete', 'Roof Complete', 'Underframe Complete']",['Shell Assembly'],0
Stage-II Final Repair & Leakage testing,SH0120,LWSCZAC (2nd Class AC Chair Car),2022-03-03 03:30:00,2022-03-03 05:55:00,['Shell Assembly'],['Coach'],1
