Operation,Machine,Coach Variant,Start Time,End Time,Input,Output,Coach Variant Manufactured
Stage-VI Backpiece Leftover welding,SW0160,Variant 1,2021-07-20 03:30:00,2021-07-20 06:30:00,['Welding Parts Side wall LHS'],['Welding Parts Side wall LHS'],0
Stage X  Manual Welding of Backpieces at Bottom side of underframe,UF0810,Variant 1,2021-07-20 00:15:00,2021-07-20 06:45:00,['Underframe Welding Parts'],['Underframe Welding Parts'],0
"Stage I Fabrication of Sub assemblies at Tacking Jigs & Fixtures , Framework tacking of Endwall Complete",EW0110,Variant 1,2021-07-20 03:44:00,2021-07-20 06:58:00,"['ARCH COMPLETE', 'ARCH COMPLETE', 'SILL COMPLETE', 'RAM PILLAR COMPLETE', 'RAM PILLAR COMPLETE', 'RAM FLANGE COMPLETE', 'FRAME WORK END WALL', 'End wall sheets']",['Output LHB END Wall'],0
"Stage II Framing, fitment & welding with BO front Part  of Underframe middle parts",UF0210,Variant 1,2021-07-20 03:20:00,2021-07-20 07:00:00,"['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']",['Underframe frame work'],0
Stage-V SW & Roof Bearer Robotic welding,SW0150,Variant 1,2021-07-20 05:06:00,2021-07-20 07:01:00,"['E', 'Welding Parts Side wall LHS']",['Side wall Left complete'],0
Stage II Manual JIG 9.2,RF0120,Variant 1,2021-07-20 04:10:00,2021-07-20 07:08:00,"['input for final roof arch complete', 'Roof sheeting complete']",['C'],0
Stage-II Robotic Spot Welding,SW0120,Variant 1,2021-07-20 06:45:00,2021-07-20 07:10:00,['LHB Side Wall LHS'],['LHB Side Wall LHS'],0
Stage VI Corrugated Sheets Tack welded  to Underframe frame work,UF0500,Variant 1,2021-07-20 00:15:00,2021-07-20 07:15:00,['Trough Sheets'],['Trough Sheets'],0
Stage II Robotic Endwall Welding Station,EW0120,Variant 1,2021-07-20 07:13:00,2021-07-20 07:29:00,['Output LHB END Wall'],['Output LHB END Wall'],0
Stage III Manual Repair stand,EW0130,Variant 1,2021-07-20 07:44:00,2021-07-20 07:46:00,['Output LHB END Wall'],['End wall Complete'],0
Stage I Machine- B&C machine,RF0110,Variant 1,2021-07-20 04:10:00,2021-07-20 07:50:00,['Roof sheeting complete'],['Roof sheeting complete'],0
Stage-III SW skeletion Robotic Mig Welding,SW0130,Variant 1,2021-07-20 07:25:00,2021-07-20 07:50:00,['LHB Side Wall LHS'],['LHB Side Wall LHS'],0
Stage-IV Roof Bearer Robotic Arc Spot welding,SW0140,Variant 1,2021-07-20 08:05:00,2021-07-20 08:06:00,"['CARLINE', 'LHB Side Wall LHS']",['E'],0
"Stage I Fab:Bat Box SubAssy, Pump Mt Brkt, Elec RBC channel & other cross member SubAssys",UF0110,Variant 1,2021-07-20 06:25:00,2021-07-20 09:15:00,"['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']","['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']",0
Stage-I SW Skeleton Tack Welding,SW0110,Variant 1,2021-07-20 06:45:00,2021-07-20 09:45:00,"['SIDE WALL SHEET', 'SIDE WALL FRAME WORK LHS']",['LHB Side Wall LHS'],0
Stage-VI Backpiece Leftover welding,SW0160,Variant 1,2021-07-20 06:45:00,2021-07-20 09:45:00,['Welding Parts Side wall LHS'],['Welding Parts Side wall LHS'],0
"Stage II Framing, fitment & welding with BO front Part  of Underframe middle parts",UF0220,Variant 1,2021-07-20 06:25:00,2021-07-20 10:05:00,"['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']",['Underframe frame work'],0
Stage-V SW & Roof Bearer Robotic welding,SW0150,Variant 1,2021-07-20 08:21:00,2021-07-20 10:16:00,"['E', 'Welding Parts Side wall LHS']",['Side wall Left complete'],0
Stage-II Robotic Spot Welding,SW0120,Variant 1,2021-07-20 10:00:00,2021-07-20 10:25:00,['LHB Side Wall LHS'],['LHB Side Wall LHS'],0
"Stage I Fabrication of Sub assemblies at Tacking Jigs & Fixtures , Framework tacking of Endwall Complete",EW0110,Variant 1,2021-07-20 07:13:00,2021-07-20 10:27:00,"['ARCH COMPLETE', 'ARCH COMPLETE', 'SILL COMPLETE', 'RAM PILLAR COMPLETE', 'RAM PILLAR COMPLETE', 'RAM FLANGE COMPLETE', 'FRAME WORK END WALL', 'End wall sheets']",['Output LHB END Wall'],0
Stage III Roof Robotic Welding Station,RF0130,Variant 1,2021-07-20 07:23:00,2021-07-20 10:33:00,['C'],['C'],0
Stage II Robotic Endwall Welding Station,EW0120,Variant 1,2021-07-20 10:42:00,2021-07-20 10:58:00,['Output LHB END Wall'],['Output LHB END Wall'],0
Stage II Manual JIG 9.2,RF0120,Variant 1,2021-07-20 08:05:00,2021-07-20 11:03:00,"['input for final roof arch complete', 'Roof sheeting complete']",['C'],0
Stage-III SW skeletion Robotic Mig Welding,SW0130,Variant 1,2021-07-20 10:40:00,2021-07-20 11:05:00,['LHB Side Wall LHS'],['LHB Side Wall LHS'],0
Stage III Manual Repair stand,EW0130,Variant 1,2021-07-20 11:13:00,2021-07-20 11:15:00,['Output LHB END Wall'],['End wall Complete'],0
Stage-IV Roof Bearer Robotic Arc Spot welding,SW0140,Variant 1,2021-07-20 11:20:00,2021-07-20 11:21:00,"['CARLINE', 'LHB Side Wall LHS']",['E'],0
Stage III Robotic Welding upside of Underframe,UF0310,Variant 1,2021-07-20 07:15:00,2021-07-20 11:38:00,['Underframe frame work'],['Underframe frame work'],0
Stage I Machine- B&C machine,RF0110,Variant 1,2021-07-20 08:05:00,2021-07-20 11:45:00,['Roof sheeting complete'],['Roof sheeting complete'],0
"Stage I Fab:Bat Box SubAssy, Pump Mt Brkt, Elec RBC channel & other cross member SubAssys",UF0110,Variant 1,2021-07-20 09:30:00,2021-07-20 12:20:00,"['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']","['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']",0
Stage-I SW Skeleton Tack Welding,SW0110,Variant 1,2021-07-20 10:00:00,2021-07-20 13:00:00,"['SIDE WALL SHEET', 'SIDE WALL FRAME WORK LHS']",['LHB Side Wall LHS'],0
Stage-VI Backpiece Leftover welding,SW0160,Variant 1,2021-07-20 10:00:00,2021-07-20 13:00:00,['Welding Parts Side wall LHS'],['Welding Parts Side wall LHS'],0
"Stage II Framing, fitment & welding with BO front Part  of Underframe middle parts",UF0210,Variant 1,2021-07-20 09:30:00,2021-07-20 13:10:00,"['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']",['Underframe frame work'],0
Stage X  Manual Welding of Backpieces at Bottom side of underframe,UF0810,Variant 1,2021-07-20 07:00:00,2021-07-20 13:30:00,['Underframe Welding Parts'],['Underframe Welding Parts'],0
Stage-V SW & Roof Bearer Robotic welding,SW0150,Variant 1,2021-07-20 11:36:00,2021-07-20 13:31:00,"['E', 'Welding Parts Side wall LHS']",['Side wall Left complete'],0
Stage-II Robotic Spot Welding,SW0120,Variant 1,2021-07-20 13:15:00,2021-07-20 13:40:00,['LHB Side Wall LHS'],['LHB Side Wall LHS'],0
Stage IV Roof Acceptance Stand and left over Welding station(13.0),RF0140,Variant 1,2021-07-20 10:48:00,2021-07-20 13:48:00,"['C', 'D']",['E'],0
"Stage I Fabrication of Sub assemblies at Tacking Jigs & Fixtures , Framework tacking of Endwall Complete",EW0110,Variant 1,2021-07-20 10:42:00,2021-07-20 13:56:00,"['ARCH COMPLETE', 'ARCH COMPLETE', 'SILL COMPLETE', 'RAM PILLAR COMPLETE', 'RAM PILLAR COMPLETE', 'RAM FLANGE COMPLETE', 'FRAME WORK END WALL', 'End wall sheets']",['Output LHB END Wall'],0
Stage-III SW skeletion Robotic Mig Welding,SW0130,Variant 1,2021-07-20 13:55:00,2021-07-20 14:20:00,['LHB Side Wall LHS'],['LHB Side Wall LHS'],0
Stage II Robotic Endwall Welding Station,EW0120,Variant 1,2021-07-20 14:11:00,2021-07-20 14:27:00,['Output LHB END Wall'],['Output LHB END Wall'],0
Stage III Roof Robotic Welding Station,RF0130,Variant 1,2021-07-20 11:18:00,2021-07-20 14:28:00,['C'],['C'],0
Stage VI Corrugated Sheets Tack welded  to Underframe frame work,UF0500,Variant 1,2021-07-20 07:30:00,2021-07-20 14:30:00,['Trough Sheets'],['Trough Sheets'],0
Stage-IV Roof Bearer Robotic Arc Spot welding,SW0140,Variant 1,2021-07-20 14:35:00,2021-07-20 14:36:00,"['CARLINE', 'LHB Side Wall LHS']",['E'],0
Stage III Manual Repair stand,EW0130,Variant 1,2021-07-20 14:42:00,2021-07-20 14:44:00,['Output LHB END Wall'],['End wall Complete'],0
Stage II Manual JIG 9.2,RF0120,Variant 1,2021-07-20 12:00:00,2021-07-20 14:58:00,"['input for final roof arch complete', 'Roof sheeting complete']",['C'],0
"Stage I Fab:Bat Box SubAssy, Pump Mt Brkt, Elec RBC channel & other cross member SubAssys",UF0110,Variant 1,2021-07-20 12:35:00,2021-07-20 15:25:00,"['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']","['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']",0
Stage I Machine- B&C machine,RF0110,Variant 1,2021-07-20 12:00:00,2021-07-20 15:40:00,['Roof sheeting complete'],['Roof sheeting complete'],0
Stage V Roof Acceptance Stand and left over Welding station(11.0),RF0150,Variant 1,2021-07-20 14:03:00,2021-07-20 16:11:00,['E'],['Roof Complete'],0
"Stage II Framing, fitment & welding with BO front Part  of Underframe middle parts",UF0220,Variant 1,2021-07-20 12:35:00,2021-07-20 16:15:00,"['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']",['Underframe frame work'],0
Stage-I SW Skeleton Tack Welding,SW0110,Variant 1,2021-07-20 13:15:00,2021-07-20 16:15:00,"['SIDE WALL SHEET', 'SIDE WALL FRAME WORK LHS']",['LHB Side Wall LHS'],0
Stage-VI Backpiece Leftover welding,SW0160,Variant 1,2021-07-20 13:15:00,2021-07-20 16:15:00,['Welding Parts Side wall LHS'],['Welding Parts Side wall LHS'],0
Stage III Robotic Welding upside of Underframe,UF0310,Variant 1,2021-07-20 11:53:00,2021-07-20 16:16:00,['Underframe frame work'],['Underframe frame work'],0
Stage IV  Robotic Welding downside of Underframe,UF0320,Variant 1,2021-07-20 11:53:00,2021-07-20 16:16:00,['Underframe frame work'],['Underframe frame work'],0
Stage-V SW & Roof Bearer Robotic welding,SW0150,Variant 1,2021-07-20 14:51:00,2021-07-20 16:46:00,"['E', 'Welding Parts Side wall LHS']",['Side wall Left complete'],0
Stage-II Robotic Spot Welding,SW0120,Variant 1,2021-07-20 16:30:00,2021-07-20 16:55:00,['LHB Side Wall LHS'],['LHB Side Wall LHS'],0
"Stage I Fabrication of Sub assemblies at Tacking Jigs & Fixtures , Framework tacking of Endwall Complete",EW0110,Variant 1,2021-07-20 14:11:00,2021-07-20 17:25:00,"['ARCH COMPLETE', 'ARCH COMPLETE', 'SILL COMPLETE', 'RAM PILLAR COMPLETE', 'RAM PILLAR COMPLETE', 'RAM FLANGE COMPLETE', 'FRAME WORK END WALL', 'End wall sheets']",['Output LHB END Wall'],0
Stage-III SW skeletion Robotic Mig Welding,SW0130,Variant 1,2021-07-20 17:10:00,2021-07-20 17:35:00,['LHB Side Wall LHS'],['LHB Side Wall LHS'],0
Stage IV Roof Acceptance Stand and left over Welding station(13.0),RF0140,Variant 1,2021-07-20 14:43:00,2021-07-20 17:43:00,"['C', 'D']",['E'],0
Stage-IV Roof Bearer Robotic Arc Spot welding,SW0140,Variant 1,2021-07-20 17:50:00,2021-07-20 17:51:00,"['CARLINE', 'LHB Side Wall LHS']",['E'],0
Stage II Robotic Endwall Welding Station,EW0120,Variant 1,2021-07-20 17:40:00,2021-07-20 17:56:00,['Output LHB END Wall'],['Output LHB END Wall'],0
Stage III Manual Repair stand,EW0130,Variant 1,2021-07-20 18:11:00,2021-07-20 18:13:00,['Output LHB END Wall'],['End wall Complete'],0
Stage III Roof Robotic Welding Station,RF0130,Variant 1,2021-07-20 15:13:00,2021-07-20 18:23:00,['C'],['C'],0
"Stage I Fab:Bat Box SubAssy, Pump Mt Brkt, Elec RBC channel & other cross member SubAssys",UF0110,Variant 1,2021-07-20 15:40:00,2021-07-20 18:30:00,"['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']","['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']",0
Stage II Manual JIG 9.2,RF0120,Variant 1,2021-07-20 15:55:00,2021-07-20 18:53:00,"['input for final roof arch complete', 'Roof sheeting complete']",['C'],0
"Stage II Framing, fitment & welding with BO front Part  of Underframe middle parts",UF0210,Variant 1,2021-07-20 15:40:00,2021-07-20 19:20:00,"['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']",['Underframe frame work'],0
Stage-I SW Skeleton Tack Welding,SW0110,Variant 1,2021-07-20 16:30:00,2021-07-20 19:30:00,"['SIDE WALL SHEET', 'SIDE WALL FRAME WORK LHS']",['LHB Side Wall LHS'],0
Stage-VI Backpiece Leftover welding,SW0160,Variant 1,2021-07-20 16:30:00,2021-07-20 19:30:00,['Welding Parts Side wall LHS'],['Welding Parts Side wall LHS'],0
Stage I Machine- B&C machine,RF0110,Variant 1,2021-07-20 15:55:00,2021-07-20 19:35:00,['Roof sheeting complete'],['Roof sheeting complete'],0
Stage-V SW & Roof Bearer Robotic welding,SW0150,Variant 1,2021-07-20 18:06:00,2021-07-20 20:01:00,"['E', 'Welding Parts Side wall LHS']",['Side wall Left complete'],0
Stage V Roof Acceptance Stand and left over Welding station(11.0),RF0150,Variant 1,2021-07-20 17:58:00,2021-07-20 20:06:00,['E'],['Roof Complete'],0
Stage-II Robotic Spot Welding,SW0120,Variant 1,2021-07-20 19:45:00,2021-07-20 20:10:00,['LHB Side Wall LHS'],['LHB Side Wall LHS'],0
Stage X  Manual Welding of Backpieces at Bottom side of underframe,UF0810,Variant 1,2021-07-20 13:45:00,2021-07-20 20:15:00,['Underframe Welding Parts'],['Underframe Welding Parts'],0
Stage-III SW skeletion Robotic Mig Welding,SW0130,Variant 1,2021-07-20 20:25:00,2021-07-20 20:50:00,['LHB Side Wall LHS'],['LHB Side Wall LHS'],0
Stage III Robotic Welding upside of Underframe,UF0310,Variant 1,2021-07-20 16:31:00,2021-07-20 20:54:00,['Underframe frame work'],['Underframe frame work'],0
Stage IV  Robotic Welding downside of Underframe,UF0320,Variant 1,2021-07-20 16:31:00,2021-07-20 20:54:00,['Underframe frame work'],['Underframe frame work'],0
"Stage I Fabrication of Sub assemblies at Tacking Jigs & Fixtures , Framework tacking of Endwall Complete",EW0110,Variant 1,2021-07-20 17:40:00,2021-07-20 20:54:00,"['ARCH COMPLETE', 'ARCH COMPLETE', 'SILL COMPLETE', 'RAM PILLAR COMPLETE', 'RAM PILLAR COMPLETE', 'RAM FLANGE COMPLETE', 'FRAME WORK END WALL', 'End wall sheets']",['Output LHB END Wall'],0
Stage-IV Roof Bearer Robotic Arc Spot welding,SW0140,Variant 1,2021-07-20 21:05:00,2021-07-20 21:06:00,"['CARLINE', 'LHB Side Wall LHS']",['E'],0
Stage II Robotic Endwall Welding Station,EW0120,Variant 1,2021-07-20 21:09:00,2021-07-20 21:25:00,['Output LHB END Wall'],['Output LHB END Wall'],0
"Stage I Fab:Bat Box SubAssy, Pump Mt Brkt, Elec RBC channel & other cross member SubAssys",UF0110,Variant 1,2021-07-20 18:45:00,2021-07-20 21:35:00,"['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']","['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']",0
Stage IV Roof Acceptance Stand and left over Welding station(13.0),RF0140,Variant 1,2021-07-20 18:38:00,2021-07-20 21:38:00,"['C', 'D']",['E'],0
Stage III Manual Repair stand,EW0130,Variant 1,2021-07-20 21:40:00,2021-07-20 21:42:00,['Output LHB END Wall'],['End wall Complete'],0
Stage VI Corrugated Sheets Tack welded  to Underframe frame work,UF0500,Variant 1,2021-07-20 14:45:00,2021-07-20 21:45:00,['Trough Sheets'],['Trough Sheets'],0
Stage V Repair & leftover work by manual welding Top Side,UF0400,Variant 1,2021-07-20 16:31:00,2021-07-20 22:01:00,['Underframe frame work'],['Underframe frame work'],0
Stage III Roof Robotic Welding Station,RF0130,Variant 1,2021-07-20 19:08:00,2021-07-20 22:18:00,['C'],['C'],0
"Stage II Framing, fitment & welding with BO front Part  of Underframe middle parts",UF0220,Variant 1,2021-07-20 18:45:00,2021-07-20 22:25:00,"['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']",['Underframe frame work'],0
Stage-I SW Skeleton Tack Welding,SW0110,Variant 1,2021-07-20 19:45:00,2021-07-20 22:45:00,"['SIDE WALL SHEET', 'SIDE WALL FRAME WORK LHS']",['LHB Side Wall LHS'],0
Stage-VI Backpiece Leftover welding,SW0160,Variant 1,2021-07-20 19:45:00,2021-07-20 22:45:00,['Welding Parts Side wall LHS'],['Welding Parts Side wall LHS'],0
Stage II Manual JIG 9.2,RF0120,Variant 1,2021-07-20 19:50:00,2021-07-20 22:48:00,"['input for final roof arch complete', 'Roof sheeting complete']",['C'],0
Stage-V SW & Roof Bearer Robotic welding,SW0150,Variant 1,2021-07-20 21:21:00,2021-07-20 23:16:00,"['E', 'Welding Parts Side wall LHS']",['Side wall Left complete'],0
Stage-II Robotic Spot Welding,SW0120,Variant 1,2021-07-20 23:00:00,2021-07-20 23:25:00,['LHB Side Wall LHS'],['LHB Side Wall LHS'],0
Stage I Machine- B&C machine,RF0110,Variant 1,2021-07-20 19:50:00,2021-07-20 23:30:00,['Roof sheeting complete'],['Roof sheeting complete'],0
Stage V Roof Acceptance Stand and left over Welding station(11.0),RF0150,Variant 1,2021-07-20 21:53:00,2021-07-21 00:01:00,['E'],['Roof Complete'],0
Stage-III SW skeletion Robotic Mig Welding,SW0130,Variant 1,2021-07-20 23:40:00,2021-07-21 00:05:00,['LHB Side Wall LHS'],['LHB Side Wall LHS'],0
Stage XI Supporting members are welded at Topside of underframe,UF0820,Variant 4,2021-07-21 00:16:00,2021-07-21 00:17:00,['Supporting Members'],['Supporting Members'],0
Stage-IV Roof Bearer Robotic Arc Spot welding,SW0140,Variant 1,2021-07-21 00:20:00,2021-07-21 00:21:00,"['CARLINE', 'LHB Side Wall LHS']",['E'],0
"Stage I Fabrication of Sub assemblies at Tacking Jigs & Fixtures , Framework tacking of Endwall Complete",EW0110,Variant 1,2021-07-20 21:09:00,2021-07-21 00:23:00,"['ARCH COMPLETE', 'ARCH COMPLETE', 'SILL COMPLETE', 'RAM PILLAR COMPLETE', 'RAM PILLAR COMPLETE', 'RAM FLANGE COMPLETE', 'FRAME WORK END WALL', 'End wall sheets']",['Output LHB END Wall'],0
Stage XI Supporting members are welded at Topside of underframe,UF0820,Variant 4,2021-07-21 00:32:00,2021-07-21 00:33:00,['Supporting Members'],['Supporting Members'],0
